Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
nativecalls tajs acg,999,754,401,338,245,598,182,0.5205,0.8429,0.7429,0.7897
nativecalls acg,999,754,401,338,245,598,182,0.5205,0.8429,0.7429,0.7897
closure_compiler,999,754,615,491,245,385,121,0.6126,0.7984,0.4939,0.6103
closure_compiler wala,999,754,615,491,245,385,121,0.6126,0.7984,0.4939,0.6103
closure_compiler wala npm_cg,999,754,615,491,245,385,121,0.6126,0.7984,0.4939,0.6103
closure_compiler wala npm_cg tajs,999,754,615,491,245,385,121,0.6126,0.7984,0.4939,0.6103
closure_compiler wala npm_cg tajs acg,999,754,387,329,245,613,187,0.5165,0.8501,0.7633,0.8044
closure_compiler wala npm_cg acg,999,754,387,329,245,613,187,0.5165,0.8501,0.7633,0.8044
closure_compiler wala tajs,999,754,615,491,245,385,121,0.6126,0.7984,0.4939,0.6103
closure_compiler wala tajs acg,999,754,387,329,245,613,187,0.5165,0.8501,0.7633,0.8044
closure_compiler wala acg,999,754,387,329,245,613,187,0.5165,0.8501,0.7633,0.8044
closure_compiler npm_cg,999,754,615,491,245,385,121,0.6126,0.7984,0.4939,0.6103
closure_compiler npm_cg tajs,999,754,615,491,245,385,121,0.6126,0.7984,0.4939,0.6103
closure_compiler npm_cg tajs acg,999,754,387,329,245,613,187,0.5165,0.8501,0.7633,0.8044
closure_compiler npm_cg acg,999,754,387,329,245,613,187,0.5165,0.8501,0.7633,0.8044
closure_compiler tajs,999,754,615,491,245,385,121,0.6126,0.7984,0.4939,0.6103
closure_compiler tajs acg,999,754,387,329,245,613,187,0.5165,0.8501,0.7633,0.8044
closure_compiler acg,999,754,387,329,245,613,187,0.5165,0.8501,0.7633,0.8044
wala,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
wala npm_cg,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
wala npm_cg tajs,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
wala npm_cg tajs acg,999,754,427,363,245,572,181,0.5445,0.8501,0.7388,0.7905
wala npm_cg acg,999,754,427,363,245,572,181,0.5445,0.8501,0.7388,0.7905
wala tajs,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
wala tajs acg,999,754,427,363,245,572,181,0.5445,0.8501,0.7388,0.7905
wala acg,999,754,427,363,245,572,181,0.5445,0.8501,0.7388,0.7905
npm_cg,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
npm_cg tajs,999,754,999,754,245,0,0,0.7548,0.7548,0.0000,0.0000
npm_cg tajs acg,999,754,427,363,245,572,181,0.5445,0.8501,0.7388,0.7905
